position,salary,hours,years,respon,salary/1000,sal_qcut,years_cut,time
PROFESOR CATEDRATICO,4078205.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,4078.205,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,5479814.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,5479.814,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,4184630.0,Tiempo Completo,28,PUESTO NO ADMINISTRATIVO ,4184.63,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1635540.0,3/4 de tiempo,19,PUESTO NO ADMINISTRATIVO ,1635.54,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,5377424.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,5377.424,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,3626400.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,3626.4,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,578003.25,3/8 de tiempo,6,PUESTO NO ADMINISTRATIVO ,578.00325,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1368589.05,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,1368.58905,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1155527.0,Tiempo Completo,6,PUESTO NO ADMINISTRATIVO ,1155.527,"(1061071.0, 1297715.32]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,422380.5,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,422.3805,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,3359543.05,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,3359.5430499999998,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,157806.0,1/8 de tiempo,14,PUESTO NO ADMINISTRATIVO ,157.806,"(6711.849, 161986.54]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,3137316.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,3137.316,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR ADJUNTO                       ,2904351.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,2904.351,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2401921.5,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,2401.9215,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
